unixTime,referencePressurePump,measuredPressurePump * 100,referencePressureValve,measuredPressureValve * 100,valvePWM,forceSensorValue * 100
1759181382.243428,20.0,2033.0,0.0,0.0,49.0,26.0
1759181382.374484,20.0,2033.0,0.0,0.0,49.0,18.0
1759181382.4965203,20.0,2033.0,0.0,0.0,49.0,26.0
1759181382.544092,20.0,2021.0,0.0,0.0,49.0,26.0
1759181382.6708758,20.0,2021.0,0.0,0.0,49.0,26.0
1759181382.797532,20.0,2021.0,0.0,0.0,49.0,26.0
1759181382.8455324,20.0,2021.0,0.0,0.0,49.0,26.0
1759181382.9729898,20.0,2009.0,0.0,0.0,49.0,18.0
1759181383.108315,20.0,2021.0,0.0,0.0,49.0,26.0
1759181383.1474552,20.0,2021.0,0.0,0.0,49.0,18.0
1759181383.2746956,20.0,2021.0,0.0,0.0,49.0,26.0
1759181383.4019341,20.0,2009.0,0.0,0.0,49.0,18.0
1759181383.4493127,20.0,2021.0,0.0,0.0,49.0,18.0
1759181383.5765638,20.0,2021.0,0.0,0.0,49.0,18.0
1759181383.7034843,20.0,2021.0,0.0,0.0,49.0,18.0
1759181383.751385,20.0,2009.0,0.0,0.0,49.0,26.0
1759181383.8789566,20.0,1997.0,0.0,0.0,49.0,26.0
1759181384.007253,20.0,2009.0,0.0,0.0,49.0,26.0
1759181384.0550096,20.0,2021.0,0.0,0.0,49.0,26.0
1759181384.181202,20.0,2009.0,0.0,0.0,49.0,26.0
1759181384.3085117,20.0,2009.0,0.0,0.0,7.0,18.0
1759181384.3557315,20.0,2009.0,0.0,0.0,7.0,26.0
1759181384.4838262,20.0,1997.0,0.0,0.0,7.0,26.0
1759181384.6112807,20.0,2009.0,0.0,0.0,7.0,26.0
1759181384.6589339,20.0,2009.0,0.0,0.0,7.0,18.0
1759181384.7862985,20.0,2009.0,0.0,0.0,7.0,18.0
1759181384.9135642,20.0,2009.0,0.0,0.0,7.0,26.0
1759181384.961189,20.0,2009.0,0.0,0.0,7.0,26.0
1759181385.0878806,20.0,2009.0,0.0,0.0,7.0,26.0
1759181385.214478,20.0,2009.0,0.0,0.0,7.0,26.0
1759181385.26428,20.0,2009.0,0.0,0.0,7.0,18.0
1759181385.3894465,20.0,1984.0,0.0,0.0,7.0,34.0
1759181385.5155246,20.0,1997.0,0.0,0.0,7.0,26.0
1759181385.5629108,20.0,1997.0,0.0,0.0,7.0,18.0
1759181385.692982,20.0,1997.0,0.0,7.0,7.0,18.0
1759181385.81576,20.0,2009.0,0.0,0.0,7.0,26.0
1759181385.863423,20.0,1997.0,0.0,0.0,7.0,26.0
1759181385.9900157,20.0,1997.0,0.0,0.0,7.0,18.0
1759181386.1169705,20.0,1997.0,0.0,0.0,7.0,10.0
1759181386.1644237,20.0,1997.0,0.0,0.0,7.0,26.0
1759181386.2917557,20.0,1997.0,0.0,0.0,23.0,18.0
1759181386.4189577,20.0,1997.0,0.0,0.0,23.0,18.0
1759181386.4666374,20.0,1997.0,0.0,0.0,23.0,18.0
1759181386.5936582,20.0,1984.0,0.0,0.0,23.0,18.0
1759181386.720867,20.0,1984.0,0.0,0.0,23.0,26.0
1759181386.7686934,20.0,1984.0,0.0,0.0,23.0,26.0
1759181386.8960304,20.0,1984.0,0.0,0.0,23.0,18.0
1759181387.0227535,20.0,1984.0,0.0,0.0,23.0,26.0
1759181387.0702806,20.0,1984.0,0.0,0.0,23.0,18.0
1759181387.1982524,20.0,1984.0,0.0,0.0,23.0,18.0
1759181387.3238423,20.0,1984.0,0.0,0.0,23.0,18.0
1759181387.3720152,20.0,1984.0,0.0,0.0,23.0,26.0
1759181387.499629,20.0,1984.0,0.0,0.0,23.0,26.0
1759181387.630525,20.0,1972.0,0.0,0.0,23.0,26.0
1759181387.6818209,20.0,1984.0,0.0,0.0,23.0,18.0
1759181387.8017175,20.0,1984.0,0.0,0.0,23.0,18.0
1759181387.9297998,20.0,1984.0,0.0,0.0,23.0,26.0
1759181387.9835014,20.0,1972.0,0.0,0.0,23.0,26.0
1759181388.1053035,20.0,1972.0,0.0,0.0,23.0,18.0
1759181388.2324944,20.0,1972.0,0.0,0.0,23.0,18.0
1759181388.280038,20.0,1972.0,0.0,0.0,20.0,18.0
1759181388.411882,20.0,1972.0,0.0,0.0,20.0,18.0
1759181388.534643,20.0,1972.0,0.0,0.0,20.0,18.0
1759181388.5825763,20.0,1960.0,0.0,0.0,20.0,18.0
1759181388.713426,20.0,1960.0,0.0,0.0,20.0,26.0
1759181388.8461885,20.0,1960.0,0.0,0.0,20.0,26.0
1759181388.8898952,20.0,1972.0,0.0,0.0,20.0,26.0
1759181389.0168116,20.0,1960.0,0.0,0.0,20.0,18.0
1759181389.1421876,20.0,1972.0,0.0,0.0,20.0,26.0
1759181389.187933,20.0,1972.0,0.0,0.0,20.0,18.0
1759181389.3163145,20.0,1960.0,0.0,0.0,20.0,26.0
1759181389.4266772,20.0,1948.0,0.0,0.0,20.0,18.0
1759181389.4895842,20.0,1972.0,0.0,0.0,20.0,26.0
1759181389.6178777,20.0,1960.0,0.0,0.0,20.0,18.0
1759181389.7438614,20.0,1960.0,0.0,0.0,20.0,18.0
1759181389.7916343,20.0,1960.0,0.0,0.0,20.0,18.0
1759181389.9191232,20.0,1936.0,0.0,0.0,20.0,26.0
1759181390.0456054,20.0,1960.0,0.0,0.0,20.0,26.0
1759181390.096309,20.0,1936.0,0.0,0.0,20.0,18.0
1759181390.2253873,20.0,1960.0,0.0,0.0,20.0,26.0
1759181390.3489292,20.0,1948.0,0.0,0.0,76.0,26.0
1759181390.40125,20.0,1691.0,0.0,166.0,76.0,74.0
1759181390.5325592,20.0,1496.0,0.0,288.0,76.0,364.0
1759181390.6605914,20.0,1386.0,0.0,385.0,76.0,642.0
1759181390.7027068,20.0,1472.0,0.0,483.0,76.0,1004.0
1759181390.8356736,20.0,1337.0,0.0,544.0,76.0,1316.0
1759181390.9404857,20.0,1423.0,0.0,642.0,76.0,1649.0
1759181391.0042827,20.0,1386.0,0.0,703.0,76.0,1976.0
1759181391.1322353,20.0,1435.0,0.0,776.0,76.0,2319.0
1759181391.2606523,20.0,1423.0,0.0,837.0,76.0,2666.0
1759181391.2938824,20.0,1423.0,0.0,922.0,76.0,3015.0
1759181391.4280217,20.0,1447.0,0.0,983.0,76.0,3378.0
1759181391.547534,20.0,1484.0,0.0,1044.0,76.0,3709.0
1759181391.6116145,20.0,1594.0,0.0,1105.0,76.0,4068.0
1759181391.739204,20.0,1618.0,0.0,1166.0,76.0,4422.0
1759181391.8665771,20.0,1520.0,0.0,1215.0,76.0,4737.0
1759181391.898153,20.0,1508.0,0.0,1264.0,76.0,5043.0
1759181392.030913,20.0,1594.0,0.0,1313.0,76.0,5392.0
1759181392.1526017,20.0,1582.0,0.0,1362.0,76.0,5660.0
1759181392.2006009,20.0,1618.0,0.0,1398.0,76.0,5970.0
1759181392.3320465,20.0,1679.0,0.0,1447.0,62.0,6211.0
1759181392.4399943,20.0,1691.0,0.0,1447.0,62.0,6362.0
1759181392.5716953,20.0,1740.0,0.0,1459.0,62.0,6494.0
1759181392.5957298,20.0,1740.0,0.0,1484.0,62.0,6629.0
1759181392.7222304,20.0,1801.0,0.0,1520.0,62.0,6744.0
1759181392.8498561,20.0,1826.0,0.0,1533.0,62.0,6861.0
1759181392.9134772,20.0,1813.0,0.0,1545.0,62.0,7038.0
1759181393.0429866,20.0,1813.0,0.0,1569.0,62.0,7196.0
1759181393.1661973,20.0,1826.0,0.0,1606.0,62.0,7336.0
1759181393.214076,20.0,1862.0,0.0,1618.0,62.0,7457.0
1759181393.3417196,20.0,1875.0,0.0,1630.0,62.0,7640.0
1759181393.4728281,20.0,1875.0,0.0,1667.0,62.0,7762.0
1759181393.5159383,20.0,1875.0,0.0,1667.0,62.0,7886.0
1759181393.6427927,20.0,1911.0,0.0,1667.0,62.0,8053.0
1759181393.7701027,20.0,1911.0,0.0,1704.0,62.0,8220.0
1759181393.818063,20.0,1911.0,0.0,1716.0,62.0,8368.0
1759181393.9365695,20.0,1923.0,0.0,1740.0,62.0,8411.0
1759181394.0557764,20.0,1923.0,0.0,1752.0,62.0,8517.0
1759181394.1832354,20.0,1936.0,0.0,1777.0,62.0,8646.0
1759181394.2148952,20.0,1960.0,0.0,1789.0,62.0,8776.0
